@relation Motion

@attribute Entry numeric
@attribute x1 numeric
@attribute y1 numeric
@attribute z1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute z2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute z3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute z4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute z5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute z6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute z7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute z8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute z9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute z10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute z11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute z12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute z13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute z14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute z15 numeric
@attribute x16 numeric
@attribute y16 numeric
@attribute z16 numeric
@attribute x17 numeric
@attribute y17 numeric
@attribute z17 numeric
@attribute x18 numeric
@attribute y18 numeric
@attribute z18 numeric
@attribute x19 numeric
@attribute y19 numeric
@attribute z19 numeric
@attribute x20 numeric
@attribute y20 numeric
@attribute z20 numeric
@attribute x21 numeric
@attribute y21 numeric
@attribute z21 numeric
@attribute x22 numeric
@attribute y22 numeric
@attribute z22 numeric
@attribute x23 numeric
@attribute y23 numeric
@attribute z23 numeric
@attribute x24 numeric
@attribute y24 numeric
@attribute z24 numeric
@attribute x25 numeric
@attribute y25 numeric
@attribute z25 numeric
@attribute x26 numeric
@attribute y26 numeric
@attribute z26 numeric
@attribute x27 numeric
@attribute y27 numeric
@attribute z27 numeric
@attribute x28 numeric
@attribute y28 numeric
@attribute z28 numeric
@attribute x29 numeric
@attribute y29 numeric
@attribute z29 numeric
@attribute x30 numeric
@attribute y30 numeric
@attribute z30 numeric
@attribute x31 numeric
@attribute y31 numeric
@attribute z31 numeric
@attribute x32 numeric
@attribute y32 numeric
@attribute z32 numeric
@attribute x33 numeric
@attribute y33 numeric
@attribute z33 numeric
@attribute x34 numeric
@attribute y34 numeric
@attribute z34 numeric
@attribute x35 numeric
@attribute y35 numeric
@attribute z35 numeric
@attribute x36 numeric
@attribute y36 numeric
@attribute z36 numeric
@attribute x37 numeric
@attribute y37 numeric
@attribute z37 numeric
@attribute x38 numeric
@attribute y38 numeric
@attribute z38 numeric
@attribute x39 numeric
@attribute y39 numeric
@attribute z39 numeric
@attribute x40 numeric
@attribute y40 numeric
@attribute z40 numeric
@attribute x41 numeric
@attribute y41 numeric
@attribute z41 numeric
@attribute x42 numeric
@attribute y42 numeric
@attribute z42 numeric
@attribute x43 numeric
@attribute y43 numeric
@attribute z43 numeric
@attribute x44 numeric
@attribute y44 numeric
@attribute z44 numeric
@attribute x45 numeric
@attribute y45 numeric
@attribute z45 numeric
@attribute x46 numeric
@attribute y46 numeric
@attribute z46 numeric
@attribute x47 numeric
@attribute y47 numeric
@attribute z47 numeric
@attribute x48 numeric
@attribute y48 numeric
@attribute z48 numeric
@attribute x49 numeric
@attribute y49 numeric
@attribute z49 numeric
@attribute x50 numeric
@attribute y50 numeric
@attribute z50 numeric
@attribute label {3,2,1}

@data
30,0.861,6.273,9.941,-0.258,4.223,11.205,-0.258,4.223,11.205,-1.283,8.791,9.27,-1.283,8.791,9.27,-0.019,10.554,7.757,-0.019,10.554,7.757,-3.677,7.518,12.431,-3.677,7.518,12.431,-1.12,7.067,14.356,-1.12,7.067,14.356,5.468,6.656,11.961,5.468,6.656,11.961,-2.451,4.855,8.016,-2.451,4.855,8.016,2.518,1.417,5.286,2.518,1.417,5.286,-1.647,2.298,7.872,-1.647,2.298,7.872,1.925,4.941,8.083,1.925,4.941,8.083,1.925,4.941,8.083,-0.766,5.066,8.734,-0.766,5.066,8.734,-0.766,5.066,8.734,0.478,0.555,0.804,0.478,0.555,0.804,4.213,8.274,6.78,4.213,8.274,6.78,8.868,-11.387,3.246,8.868,-11.387,3.246,8.868,-11.387,3.246,2.94,9.567,0.823,2.94,9.567,0.823,3.026,-18.196,-0.679,3.026,-18.196,-0.679,0.143,10.956,4.261,0.143,10.956,4.261,4.175,-17.392,-2.585,4.175,-17.392,-2.585,4.175,-17.392,-2.585,-4.941,-0.699,5.219,-4.941,-0.699,5.219,8.169,0.028,3.639,8.169,0.028,3.639,8.169,0.028,3.639,2.997,8.81,9.96,2.997,8.81,9.96,2.997,8.81,9.96,8.945,7.623,0.938,2
31,-4.491,0.306,9.107,-1.254,1.599,10.764,-1.254,1.599,10.764,4.022,2.26,10.984,4.022,2.26,10.984,1.666,2.748,12.124,1.666,2.748,12.124,3.936,2.355,9.864,3.936,2.355,9.864,1.886,4.261,10.764,1.886,4.261,10.764,4.146,2.815,9.098,4.146,2.815,9.098,1.685,3.984,12,1.685,3.984,12,3.917,3.773,10.496,3.917,3.773,10.496,2.748,4.204,11.358,2.748,4.204,11.358,3.601,3.811,9.002,3.601,3.811,9.002,1.321,4.328,9.826,1.321,4.328,9.826,1.321,4.328,9.826,1.599,4.051,7.834,1.599,4.051,7.834,1.599,4.051,7.834,2.643,1.608,6.704,2.643,1.608,6.704,2.643,1.608,6.704,1.57,5.305,9.749,1.57,5.305,9.749,1.57,5.305,9.749,3.993,2.719,7.805,3.993,2.719,7.805,3.993,2.719,7.805,2.394,4.376,10.841,2.394,4.376,10.841,2.394,4.376,10.841,4.434,4.501,8.025,4.434,4.501,8.025,2.47,3.064,10.525,2.47,3.064,10.525,2.47,3.064,10.525,2.432,4.137,7.987,2.432,4.137,7.987,2.432,4.137,7.987,2.825,0.574,5.832,2.825,0.574,5.832,2.825,0.574,5.832,2
32,-3.917,-0.086,9.462,0.976,0.976,5.995,0.976,0.976,5.995,-0.584,2.748,9.012,-0.584,2.748,9.012,1.848,1.206,7.278,1.848,1.206,7.278,1.455,3.16,6.972,1.455,3.16,6.972,2.193,1.867,6.742,2.193,1.867,6.742,1.484,3.294,7.211,1.484,3.294,7.211,1.81,1.925,7.02,1.81,1.925,7.02,1.436,3.16,7.249,1.436,3.16,7.249,2.116,2.221,7.077,2.116,2.221,7.077,0.919,2.949,8.111,0.919,2.949,8.111,2.059,2.288,7.412,2.059,2.288,7.412,2.059,2.288,7.412,-0.019,3.648,8.897,-0.019,3.648,8.897,-0.019,3.648,8.897,1.972,3.514,8.772,1.972,3.514,8.772,1.972,3.514,8.772,0.938,3.936,11.693,0.938,3.936,11.693,0.938,3.936,11.693,2.279,3.179,8.351,2.279,3.179,8.351,2.279,3.179,8.351,1.379,2.901,9.107,1.379,2.901,9.107,1.379,2.901,9.107,0.565,2.777,8.447,0.565,2.777,8.447,0.565,2.777,8.447,1.953,2.068,7.048,1.953,2.068,7.048,1.953,2.068,7.048,-0.43,3.639,9.902,-0.43,3.639,9.902,-0.43,3.639,9.902,2.949,2.336,9.088,2.949,2.336,9.088,2
33,-4.52,-0.488,7.422,1.676,0.363,8.332,1.676,0.363,8.332,-1.139,3.486,9.567,-1.139,3.486,9.567,-1.139,3.486,9.567,2.164,1.838,9.184,2.164,1.838,9.184,2.164,1.838,9.184,-0.057,3.84,9.797,-0.057,3.84,9.797,2.576,2.087,10.381,2.576,2.087,10.381,1.149,3.083,10.132,1.149,3.083,10.132,1.149,3.083,10.132,1.513,2.978,9.711,1.513,2.978,9.711,0.373,3.15,10.161,0.373,3.15,10.161,0.852,3.409,7.374,0.852,3.409,7.374,1.398,1.474,7.891,1.398,1.474,7.891,1.398,1.474,7.891,0.565,3.792,8.552,0.565,3.792,8.552,2.049,1.781,8.312,2.049,1.781,8.312,2.049,1.781,8.312,0.076,3.447,9.835,0.076,3.447,9.835,2.221,1.877,9.079,2.221,1.877,9.079,-0.957,2.968,9.902,-0.957,2.968,9.902,2.087,2.241,8.619,2.087,2.241,8.619,2.087,2.241,8.619,-0.354,3.505,9.538,-0.354,3.505,9.538,-0.354,3.505,9.538,1.292,3.323,9.146,1.292,3.323,9.146,1.292,3.323,9.146,1.608,3.064,7.565,1.608,3.064,7.565,1.608,3.064,7.565,0.402,4.376,9.567,0.402,4.376,9.567,2
34,-3.045,-0.651,7.862,-3.141,0.325,6.493,-3.141,0.325,6.493,0,-0.22,9.002,0,-0.22,9.002,0,-0.22,9.002,-2.049,2.011,9.711,-2.049,2.011,9.711,-2.049,2.011,9.711,1.589,1.896,10.094,1.589,1.896,10.094,-1.082,2.997,9.577,-1.082,2.997,9.577,1.963,1.551,9.615,1.963,1.551,9.615,0.268,2.767,11.588,0.268,2.767,11.588,2.959,1.676,10.831,2.959,1.676,10.831,0.909,2.595,10.879,0.909,2.595,10.879,2.432,1.867,10.209,2.432,1.867,10.209,1.005,2.221,9.337,1.005,2.221,9.337,1.043,3.131,7.738,1.043,3.131,7.738,1.043,3.131,7.738,1.474,1.771,7.987,1.474,1.771,7.987,1.474,1.771,7.987,-0.584,3.687,9.874,-0.584,3.687,9.874,-0.584,3.687,9.874,2.863,1.513,9.701,2.863,1.513,9.701,2.863,1.513,9.701,1.417,2.059,8.81,1.417,2.059,8.81,1.417,2.059,8.81,-0.21,3.189,7.68,-0.21,3.189,7.68,-0.21,3.189,7.68,2.719,1.877,8.006,2.719,1.877,8.006,2.719,1.877,8.006,-0.277,3.256,9.577,-0.277,3.256,9.577,-0.277,3.256,9.577,3.217,1.857,9.615,2
35,-3.112,-1.407,9.96,0.785,0.737,9.988,0.785,0.737,9.988,0.785,0.737,9.988,0.814,1.484,9.807,0.814,1.484,9.807,0.814,1.484,9.807,-0.498,2.221,8.255,-0.498,2.221,8.255,-0.498,2.221,8.255,0.823,0.766,8.753,0.823,0.766,8.753,0.823,0.766,8.753,-1.57,2.509,9.222,-1.57,2.509,9.222,2.279,0.526,8.226,2.279,0.526,8.226,-1.197,2.48,11.99,-1.197,2.48,11.99,1.953,0.871,9.385,1.953,0.871,9.385,1.953,0.871,9.385,0.038,2.585,11.76,0.038,2.585,11.76,1.733,2.624,8.849,1.733,2.624,8.849,1.733,2.624,8.849,2.279,0.143,8.552,2.279,0.143,8.552,2.279,0.143,8.552,0.095,2.193,11.607,0.095,2.193,11.607,0.095,2.193,11.607,2.47,2.691,9.155,2.47,2.691,9.155,2.47,2.691,9.155,2.423,0.804,8.629,2.423,0.804,8.629,2.423,0.804,8.629,-0.842,2.375,10.908,-0.842,2.375,10.908,-0.842,2.375,10.908,0.679,2.94,7.096,0.679,2.94,7.096,0.679,2.94,7.096,1.465,1.925,8.533,1.465,1.925,8.533,1.465,1.925,8.533,-0.124,2.681,9.969,-0.124,2.681,9.969,2
36,-0.124,2.834,8.629,-0.498,3.61,13.273,-0.498,3.61,13.273,-0.498,3.61,13.273,3.802,5.612,13.283,3.802,5.612,13.283,3.802,5.612,13.283,1.8,-0.134,6.636,1.8,-0.134,6.636,1.8,-0.134,6.636,-1.723,3.533,4.395,-1.723,3.533,4.395,-1.723,3.533,4.395,3.706,-2.557,3.074,3.706,-2.557,3.074,-0.507,5.449,1.015,-0.507,5.449,1.015,4.223,0.277,2.566,4.223,0.277,2.566,4.223,0.277,2.566,-1.8,9.136,7.556,-1.8,9.136,7.556,-1.8,9.136,7.556,4.127,8.676,14.844,4.127,8.676,14.844,4.127,8.676,14.844,-0.89,5.88,8.696,-0.89,5.88,8.696,-0.89,5.88,8.696,-3.217,5.775,7.106,-3.217,5.775,7.106,-3.217,5.775,7.106,2.288,5.631,8.858,2.288,5.631,8.858,2.288,5.631,8.858,3.687,-0.881,3.677,3.687,-0.881,3.677,3.687,-0.881,3.677,-3.486,7.106,8.504,-3.486,7.106,8.504,-3.486,7.106,8.504,3.179,2.078,5.277,3.179,2.078,5.277,3.179,2.078,5.277,3.878,-10.554,-2.298,3.878,-10.554,-2.298,3.878,-10.554,-2.298,12.258,-11.138,6.962,12.258,-11.138,6.962,12.258,-11.138,6.962,2
37,4.568,2.039,4.606,1.695,-8.37,5.43,1.695,-8.37,5.43,0.679,-0.124,-1.877,0.679,-0.124,-1.877,0.028,-2.365,-2.087,0.028,-2.365,-2.087,0.747,-4.462,2.988,0.747,-4.462,2.988,5.401,-9.864,0.181,5.401,-9.864,0.181,6.589,-15.783,4.75,6.589,-15.783,4.75,7.987,-17.88,2.049,7.987,-17.88,2.049,12.459,-16.376,2.03,12.459,-16.376,2.03,9.95,-15.696,-0.44,9.95,-15.696,-0.44,14.988,-15.878,1.206,14.988,-15.878,1.206,11.779,-13.436,-0.459,11.779,-13.436,-0.459,12.747,-10.994,0.086,12.747,-10.994,0.086,10.822,-13.848,1.053,10.822,-13.848,1.053,10.592,-13.829,2.796,10.592,-13.829,2.796,8.983,-10.506,0.181,8.983,-10.506,0.181,8.983,-10.506,0.181,2.537,-8.696,-1.455,2.537,-8.696,-1.455,2.537,-8.696,-1.455,5.133,0.325,0.708,5.133,0.325,0.708,5.133,0.325,0.708,-1.819,-5.028,-1.532,-1.819,-5.028,-1.532,9.711,-4.654,1.522,9.711,-4.654,1.522,6.55,-8.945,2.154,6.55,-8.945,2.154,6.55,-8.945,2.154,11.732,-12.814,4.874,11.732,-12.814,4.874,9.155,-9.586,1.101,9.155,-9.586,1.101,9.155,-9.586,1.101,2
38,4.769,3.754,8.111,8.542,-9.356,5.679,8.542,-9.356,5.679,8.542,-9.356,5.679,8.236,-11.578,0.823,8.236,-11.578,0.823,-3.668,-9.28,-0.517,-3.668,-9.28,-0.517,6.129,-2.47,-0.632,6.129,-2.47,-0.632,-8.169,-4.127,-0.9,-8.169,-4.127,-0.9,1.8,1.963,0.67,1.8,1.963,0.67,-1.925,-4.673,-1.254,-1.925,-4.673,-1.254,12.459,-7.202,0.756,12.459,-7.202,0.756,12.459,-7.202,0.756,9.366,-11.626,2.547,9.366,-11.626,2.547,9.366,-11.626,2.547,1.934,-11.76,1.637,1.934,-11.76,1.637,1.934,-11.76,1.637,7.834,-4.865,1.436,7.834,-4.865,1.436,7.834,-4.865,1.436,8.925,-9.739,1.589,8.925,-9.739,1.589,8.925,-9.739,1.589,0.383,-8.992,0.402,0.383,-8.992,0.402,0.383,-8.992,0.402,7.173,-7.077,3.074,7.173,-7.077,3.074,7.173,-7.077,3.074,10.841,-9.969,1.197,10.841,-9.969,1.197,10.841,-9.969,1.197,2.949,-12.823,1.541,2.949,-12.823,1.541,10.17,-10.113,3.466,10.17,-10.113,3.466,-2.174,-7.68,-2.174,-2.174,-7.68,-2.174,-2.174,-7.68,-2.174,4.405,-1.139,-1.379,4.405,-1.139,-1.379,4.405,-1.139,-1.379,2
39,-2.911,8.494,13.934,1.599,0.928,4.75,1.599,0.928,4.75,10.668,-8.494,-0.124,10.668,-8.494,-0.124,2.116,-8.715,-0.191,2.116,-8.715,-0.191,0.21,-4.376,-0.976,0.21,-4.376,-0.976,-0.354,0.526,-0.794,-0.354,0.526,-0.794,-1.656,0.603,-2.681,-1.656,0.603,-2.681,5.573,-4.127,-0.239,5.573,-4.127,-0.239,4.702,-10.237,2.604,4.702,-10.237,2.604,9.107,-13.475,1.541,9.107,-13.475,1.541,7.403,-13.455,0.574,7.403,-13.455,0.574,7.403,-13.455,0.574,5.755,-13.446,3.629,5.755,-13.446,3.629,6.608,-14.442,2.03,6.608,-14.442,2.03,6.349,-12.316,2.03,6.349,-12.316,2.03,2.873,-7.393,0.354,2.873,-7.393,0.354,-1.072,-3.486,-0.383,-1.072,-3.486,-0.383,0.402,-2.585,-0.086,0.402,-2.585,-0.086,0.402,-2.585,-0.086,3.581,-7.68,1.733,3.581,-7.68,1.733,3.581,-7.68,1.733,10.17,-9.203,3.007,10.17,-9.203,3.007,10.17,-9.203,3.007,7.489,-3.888,5.018,7.489,-3.888,5.018,7.489,-3.888,5.018,5.43,-6.349,1.551,5.43,-6.349,1.551,5.43,-6.349,1.551,5.248,-5.257,2.403,5.248,-5.257,2.403,5.248,-5.257,2.403,2
40,-2.327,7.048,10.237,9.05,-3.897,7.996,9.05,-3.897,7.996,9.05,-3.897,7.996,-11.521,-9.28,-2.308,-11.521,-9.28,-2.308,-11.521,-9.28,-2.308,10.439,-3.122,2.604,10.439,-3.122,2.604,10.439,-3.122,2.604,10.697,-13.647,1.877,10.697,-13.647,1.877,11.722,-14.509,3.179,11.722,-14.509,3.179,11.502,-16.07,3.304,11.502,-16.07,3.304,9.998,-16.827,4.759,9.998,-16.827,4.759,9.854,-10.151,0.718,9.854,-10.151,0.718,4.089,-9.739,-0.134,4.089,-9.739,-0.134,6.876,-4.759,-1.915,6.876,-4.759,-1.915,6.876,-4.759,-1.915,5.889,-8.791,0.852,5.889,-8.791,0.852,5.889,-8.791,0.852,-0.392,-8.973,-0.517,-0.392,-8.973,-0.517,-0.392,-8.973,-0.517,4.089,-7.106,-1.139,4.089,-7.106,-1.139,4.089,-7.106,-1.139,2.03,-1.426,-3.246,2.03,-1.426,-3.246,2.03,-1.426,-3.246,-4.472,-1.513,1.015,-4.472,-1.513,1.015,4.539,-8.638,3.016,4.539,-8.638,3.016,4.539,-8.638,3.016,5.736,-7.843,1.455,5.736,-7.843,1.455,5.736,-7.843,1.455,3.083,-9.854,0.775,3.083,-9.854,0.775,3.083,-9.854,0.775,-0.766,-6.205,0.842,-0.766,-6.205,0.842,2
41,-0.747,1.005,-0.45,0.21,15.639,14.384,0.21,15.639,14.384,-0.047,0.134,0.402,-0.047,0.134,0.402,-1.848,11.032,10.515,-1.848,11.032,10.515,-1.848,11.032,10.515,-1.177,4.462,2.767,-1.177,4.462,2.767,-1.177,4.462,2.767,-0.201,1.225,1.264,-0.201,1.225,1.264,-0.201,1.225,1.264,0.201,15.754,13.791,0.201,15.754,13.791,0.201,15.754,13.791,-0.143,0.239,0.708,-0.143,0.239,0.708,-0.603,12.191,11.885,-0.603,12.191,11.885,-0.603,12.191,11.885,-0.114,2.767,2.873,-0.114,2.767,2.873,-0.095,1.676,1.043,-0.095,1.676,1.043,-0.095,1.676,1.043,-0.852,9.615,8.676,-0.852,9.615,8.676,-0.852,9.615,8.676,-2.106,10.439,14.413,-2.106,10.439,14.413,-2.106,10.439,14.413,0.038,1.513,2.892,0.038,1.513,2.892,0.038,1.513,2.892,0,1.187,1.762,0,1.187,1.762,0,1.187,1.762,-0.258,9.28,11.128,-0.258,9.28,11.128,-0.258,9.28,11.128,0.105,8.427,10.209,0.105,8.427,10.209,0.105,8.427,10.209,0.44,0.402,0.344,0.44,0.402,0.344,0.44,0.402,0.344,-0.268,2.183,1.666,-0.268,2.183,1.666,3
42,-0.909,0.632,-0.536,1.608,13.81,13.254,1.608,13.81,13.254,1.608,13.81,13.254,0.325,1.867,1.79,0.325,1.867,1.79,0.325,1.867,1.79,0.143,2.719,1.302,0.143,2.719,1.302,0.143,2.719,1.302,-0.9,14.174,15.582,-0.9,14.174,15.582,-0.9,14.174,15.582,-0.153,-0.459,1.034,-0.153,-0.459,1.034,-0.153,-0.459,1.034,-0.067,2.442,2.94,-0.067,2.442,2.94,-0.067,2.442,2.94,-1.072,12.66,15.668,-1.072,12.66,15.668,-1.072,12.66,15.668,-0.009,0.134,-1.455,-0.009,0.134,-1.455,-0.009,0.134,-1.455,-0.249,5.468,7.632,-0.249,5.468,7.632,-0.249,5.468,7.632,-0.861,11.166,10.783,-0.861,11.166,10.783,-0.861,11.166,10.783,0.871,2.375,4.127,0.871,2.375,4.127,0.871,2.375,4.127,-0.229,-0.383,1.532,-0.229,-0.383,1.532,-0.229,-0.383,1.532,-0.517,3.811,2.451,-0.517,3.811,2.451,-0.517,3.811,2.451,-0.871,10.841,14.336,-0.871,10.841,14.336,-0.871,10.841,14.336,0.277,7.996,12.957,0.277,7.996,12.957,0.277,7.996,12.957,0.651,1.388,1.034,0.651,1.388,1.034,0.651,1.388,1.034,0.191,0.191,0.565,3
43,-1.139,1.302,1.561,0.814,11.856,16.865,0.814,11.856,16.865,-0.833,-1.043,-0.488,-0.833,-1.043,-0.488,-0.842,7.728,10.41,-0.842,7.728,10.41,-0.823,2.279,3.821,-0.823,2.279,3.821,-1.302,4.003,6.732,-1.302,4.003,6.732,-1.992,11.626,8.638,-1.992,11.626,8.638,1.369,-0.814,-3.15,1.369,-0.814,-3.15,-1.34,13.302,17.832,-1.34,13.302,17.832,-0.057,-0.344,-1.676,-0.057,-0.344,-1.676,-2.001,9.739,11.502,-2.001,9.739,11.502,-0.153,6.79,10.554,-0.153,6.79,10.554,-0.153,6.79,10.554,-0.689,0.421,-0.593,-0.689,0.421,-0.593,0.277,9.376,16.032,0.277,9.376,16.032,0.277,9.376,16.032,-1.091,3.179,1.819,-1.091,3.179,1.819,-0.459,2.202,4.386,-0.459,2.202,4.386,-0.459,2.202,4.386,-5.391,11.454,14.308,-5.391,11.454,14.308,-5.391,11.454,14.308,-1.043,1.551,4.079,-1.043,1.551,4.079,-1.043,1.551,4.079,0.392,2.786,3.984,0.392,2.786,3.984,0.392,2.786,3.984,-1.867,11.54,16.558,-1.867,11.54,16.558,-1.867,11.54,16.558,0.67,1.972,0.718,0.67,1.972,0.718,0.67,1.972,0.718,-1.695,3.045,3.974,3
44,-1.829,2.241,2.681,-3.074,1.11,17.526,-3.074,1.11,17.526,-3.074,1.11,17.526,-1.81,2.26,7.192,-1.81,2.26,7.192,-1.81,2.26,7.192,-3.39,1.992,3.332,-3.39,1.992,3.332,-3.668,3.706,12.67,-3.668,3.706,12.67,-0.766,0.718,8.025,-0.766,0.718,8.025,-0.766,0.718,8.025,-0.679,1.398,1.915,-0.679,1.398,1.915,-0.679,1.398,1.915,-9.28,6.751,14.298,-9.28,6.751,14.298,-9.28,6.751,14.298,1.398,5.64,1.254,1.398,5.64,1.254,1.398,5.64,1.254,-2.183,1.388,1.513,-2.183,1.388,1.513,-2.183,1.388,1.513,-2.528,1.905,9.835,-2.528,1.905,9.835,-2.528,1.905,9.835,-3.476,7.278,14.471,-3.476,7.278,14.471,-3.476,7.278,14.471,1.474,3.131,1.015,1.474,3.131,1.015,-2.949,-0.028,5.985,-2.949,-0.028,5.985,-1.072,3.725,14.882,-1.072,3.725,14.882,3.878,1.819,9.04,3.878,1.819,9.04,0.9,2.03,3.792,0.9,2.03,3.792,0.9,2.03,3.792,-1.905,0.057,1.829,-1.905,0.057,1.829,-1.905,0.057,1.829,-2.068,-1.101,8.102,-2.068,-1.101,8.102,-2.068,-1.101,8.102,-1.379,0.536,3.524,3
45,-0.44,4.28,6.273,0,1.494,4.453,0,1.494,4.453,1.503,2.432,13.589,1.503,2.432,13.589,0.143,-0.162,-2.068,0.143,-0.162,-2.068,1.982,4.951,18.081,1.982,4.951,18.081,1.417,-0.66,1.11,1.417,-0.66,1.11,1.072,3.62,10.582,1.072,3.62,10.582,0.66,1.292,5.257,0.66,1.292,5.257,0.172,1.867,-1.13,0.172,1.867,-1.13,0.823,4.731,14.365,0.823,4.731,14.365,0.421,-1.666,0.076,0.421,-1.666,0.076,-0.928,3.601,7.259,-0.928,3.601,7.259,-0.928,3.601,7.259,0.823,7.623,14.317,0.823,7.623,14.317,0.823,7.623,14.317,2.02,2.059,2.413,2.02,2.059,2.413,2.02,2.059,2.413,0.66,-1.8,-1.532,0.66,-1.8,-1.532,0.66,-1.8,-1.532,1.13,2.317,10.247,1.13,2.317,10.247,1.13,2.317,10.247,-0.545,2.595,12.756,-0.545,2.595,12.756,1.34,0.316,-1.302,1.34,0.316,-1.302,1.12,5.391,10.965,1.12,5.391,10.965,-0.699,7.249,10.965,-0.699,7.249,10.965,-0.699,7.249,10.965,0.584,0.191,0.574,0.584,0.191,0.574,0.584,0.191,0.574,-3.371,2.231,9.5,-3.371,2.231,9.5,3
46,1.13,8.523,11.597,0.038,12.823,9.663,0.038,12.823,9.663,0.038,12.823,9.663,0.488,10.688,9.337,0.488,10.688,9.337,0.488,10.688,9.337,0.881,8.341,9.241,0.881,8.341,9.241,0.181,5.181,4.798,0.181,5.181,4.798,0.536,1.666,1.589,0.536,1.666,1.589,0.536,1.666,1.589,0.814,-4.97,-5.238,0.814,-4.97,-5.238,3.725,-4.137,-4.846,3.725,-4.137,-4.846,3.725,-4.137,-4.846,3.198,4.913,5.2,3.198,4.913,5.2,2.365,6.091,10.659,2.365,6.091,10.659,2.365,6.091,10.659,2.26,10.4,16.587,2.26,10.4,16.587,2.087,8.648,13.695,2.087,8.648,13.695,0.565,0.689,1.187,0.565,0.689,1.187,0.881,1.091,0.258,0.881,1.091,0.258,0.881,1.091,0.258,-0.038,-5.947,-7.508,-0.038,-5.947,-7.508,-0.038,-5.947,-7.508,2.288,-5.305,-2.461,2.288,-5.305,-2.461,2.288,-5.305,-2.461,4.252,-1.647,-1.436,4.252,-1.647,-1.436,4.252,-1.647,-1.436,0.756,8.284,6.847,0.756,8.284,6.847,0.756,8.284,6.847,4.597,4.233,5.64,4.597,4.233,5.64,4.597,4.233,5.64,13.283,8.389,15.773,13.283,8.389,15.773,3
47,0.316,1.446,0.699,1.532,9.107,9.251,1.532,9.107,9.251,9.395,14.691,18.234,9.395,14.691,18.234,5.123,8.006,11.415,5.123,8.006,11.415,4.549,-7.374,-2.853,4.549,-7.374,-2.853,0.814,-16.185,-14.193,0.814,-16.185,-14.193,5.937,-5.746,-7.288,5.937,-5.746,-7.288,12.756,4.424,14.653,12.756,4.424,14.653,9.127,7.202,19.001,9.127,7.202,19.001,13.953,5.315,12.105,13.953,5.315,12.105,0.277,-13.178,-8.638,0.277,-13.178,-8.638,-0.392,-15.39,-12.124,-0.392,-15.39,-12.124,7.996,-4.501,-2.126,7.996,-4.501,-2.126,7.977,1.867,9.155,7.977,1.867,9.155,8.858,4.022,17.066,8.858,4.022,17.066,15.639,0.976,16.702,15.639,0.976,16.702,6.502,-1.264,2.288,6.502,-1.264,2.288,0.363,-11.54,-10.391,0.363,-11.54,-10.391,0,-8.121,-4.721,0,-8.121,-4.721,7.355,6.55,7.987,7.355,6.55,7.987,16.692,16.405,17.756,16.692,16.405,17.756,12.354,8.198,9.462,12.354,8.198,9.462,-1.474,-7.24,-4.769,-1.474,-7.24,-4.769,-0.143,-4.951,-8.092,-0.143,-4.951,-8.092,4.213,1.11,0.842,4.213,1.11,0.842,-1.398,13.293,14.854,3
48,-0.67,6.129,6.531,1.494,3.256,7.881,1.494,3.256,7.881,-2.71,-7.288,-5.995,-2.71,-7.288,-5.995,5.813,3.083,1.819,5.813,3.083,1.819,17.746,19.068,17.344,17.746,19.068,17.344,5.334,3.342,3.38,5.334,3.342,3.38,-3.179,-8.14,-9.366,-3.179,-8.14,-9.366,5.219,2.499,5.037,5.219,2.499,5.037,15.869,8.14,18.225,15.869,8.14,18.225,12.383,6.34,11.952,12.383,6.34,11.952,-3.897,-10.917,-7.728,-3.897,-10.917,-7.728,0.268,-4.031,-6.349,0.268,-4.031,-6.349,7.115,2.202,4.453,7.115,2.202,4.453,7.115,2.202,4.453,10.209,5.229,6.943,10.209,5.229,6.943,10.209,5.229,6.943,7.92,7.163,4.664,7.92,7.163,4.664,6.263,12.488,6.091,6.263,12.488,6.091,6.263,12.488,6.091,4.846,12.536,5.411,4.846,12.536,5.411,4.846,12.536,5.411,3.112,10.496,7.288,3.112,10.496,7.288,3.112,10.496,7.288,3.773,11.779,9.194,3.773,11.779,9.194,3.773,11.779,9.194,4.376,9.845,8.016,4.376,9.845,8.016,4.376,9.845,8.016,6.004,8.159,7.259,6.004,8.159,7.259,6.004,8.159,7.259,0.967,2.413,1.091,3
